datetime,close,perc_return,cum_return,log_return,volume,trades
2019-04-26 17:00:00,0.00639,,,,157258876.1,2211
2019-04-26 17:01:00,0.00526,-17.68388,-0.17684,-19.46032,110259122.3,1635
2019-04-26 17:02:00,0.00591,12.35741,-0.07512,11.65148,98897027.5,1595
2019-04-26 17:03:00,0.00581,-1.69205,-0.09077,-1.70653,90493510.3,971
2019-04-26 17:04:00,0.0056,-3.61446,-0.12363,-3.6814,77683428.0,624
2019-04-26 17:05:00,0.00601,7.32143,-0.05947,7.06582,78203143.0,904
2019-04-26 17:06:00,0.00598,-0.49917,-0.06416,-0.50042,51564071.7,633
2019-04-26 17:07:00,0.00612,2.34114,-0.04225,2.31416,46709967.4,602
2019-04-26 17:08:00,0.00634,3.59477,-0.00782,3.53167,47208791.9,503
2019-04-26 17:09:00,0.00612,-3.47003,-0.04225,-3.53167,46539692.8,638
